ticker,label,section,harmonized_name,application_count,reason
NVDA,NVIDIA,matched,NVIDIA CORP,8469,
NVDA,NVIDIA,matched,NVIDIA INTERNATIONAL INC,16,
NVDA,NVIDIA,matched,NVIDIA,11,
NVDA,NVIDIA,matched,NVIDIA TECHNOLOGY UK LTD,10,
NVDA,NVIDIA,matched,NVIDIA U S INVEST COMPANY,6,
NVDA,NVIDIA,matched,NVIDIA TECH UK LTD,2,
NVDA,NVIDIA,matched,NVIDIA US INVEST COMPANY,2,
NVDA,NVIDIA,matched,NVIDIA Corporaton,2,
NVDA,NVIDIA,matched,NVIDIA CORPORTION,1,
NVDA,NVIDIA,matched,NVIDIA US INVESTMENT CO,1,
NVDA,NVIDIA,matched,NVIDIA Corporatin,1,
NVDA,NVIDIA,matched,NVIDIA DENMARK APS,1,
NVDA,NVIDIA,matched,NVIDIA US INVEST CO,1,
AMD,AMD,matched,ADVANCED MICRO DEVICES INC,14651,
AMD,AMD,matched,ADVANCED MICRO DEVICES INC AMD,9,
AMD,AMD,matched,ADVANCED MICRO DEVICES SHANGHAI CO LTD,8,
AMD,AMD,matched,ADVANCED MICRO DEVICES CORP,3,
AMD,AMD,matched,ADVANCED MICRO DEVICES IN,2,
AMD,AMD,matched,ADVANCED MICRO DEVICES PRODUCTS CHINA CO LTD,1,
AMD,AMD,matched,ADVANCED MICRO DEVICES PRODUCTS (CHINA) CO LTD,1,
AMD,AMD,matched,ADVANCED MICRO DEVICES INCS,1,
AMD,AMD,matched,ADVANCED MICRO DEVICES INC & LDQUO AMD & RDQUO,1,
AMD,AMD,matched,ADVANCED MICRO DEVICES AMD,1,
AMD,AMD,matched,ADVANCED MICRO DEVICES PTE LTD,1,
AMD,AMD,matched,ADVANCED MICRO DEVICES INS,1,
AMD,AMD,matched,ADVANCED MICRO DEVICES LTD,1,
AMD,AMD,matched,ADVANCED MICRO DEVICES CO LTD SHANGHAI,1,
AMD,AMD,matched,ADVANCED MICRO DEVICES LLP,1,
AMD,AMD,matched,ADVANCED MICRO DEVICES INC AND SPANSION LLC,1,
AMD,AMD,matched,ADVANCED MICRO DEVICES S PTE L,1,
AMD,AMD,matched,ADVANCED MICRO DEVICES INC.,1,
AMD,AMD,matched,ADVANCED MICRO DEVICES I NC,1,
AMD,AMD,matched,ADVANCED MICRO DEVICES (SHANGHAI) CO LTD,1,
