ticker,quarter,f_yoy,f_gm,f_dgm,D2,A_orac,A_feas,B,C,Cw_0.0,Cw_0.05,Cw_0.1,Cw_0.25,Cw_0.5,Cw_1.0,D1,Cw,t1_h4,t1_h4_filed,t1_h8,t1_h8_filed,t1_h4_latest,t3_raw,ni_dir,t3,t2,caveat
ADI,2011Q1,0.20816673106870343,0.6618673336042081,0.05077879545304964,2.0,0.0007512816614887808,,,,,,,,,,0.20816673106870343,,-0.14629353296744985,2012-05-22,-0.0234693242718792,2013-05-21,-0.14629353296744985,-0.02311818291871459,0.0,-0.002116060984122592,0.0,Step 5b pre-registered scoreboard: feasible patent channel cut at t-6Q; financials gated on filed<=t; expanding-window HMM refits (warm start + 5 restarts); as-filed targets; attrition counted
ALTR,2011Q1,0.5215918991336939,0.709574379971839,0.02541446676683512,5.0,1.9634032196328986e-07,,,,,,,,,,0.5215918991336939,,-0.28379117341311244,2012-04-23,0.06969829630440327,2013-04-26,-0.28379117341311244,-0.025057097218844193,0.0,-0.0040549752842521936,0.0,
AMD,2011Q1,0.15902578796561606,0.45673671199011123,0.03768227072936625,2.0,0.02790827074349948,,,,,,,,,,0.15902578796561606,,-0.017358958462492247,2013-05-06,-0.3135646687697161,2013-05-06,-0.017358958462492247,-0.4113595960267621,0.0,-0.3903574740921701,0.0,
AOSL,2011Q1,,,,,,,,,,,,,,,,,-0.07923227265739952,2013-05-06,-0.10545207374370957,2013-05-06,-0.07923227265739952,-0.08220509591632166,0.0,-0.061202973981729664,0.0,
ATHR,2011Q1,0.5774031064663785,0.4957221372315712,0.013128180349273488,5.0,0.9993738827311612,,,,,,,,,,0.5774031064663785,,,,,,,,,,,
ATML,2011Q1,0.3984955780064834,0.4683736024341501,0.15760974632991065,4.0,1.5309933504263135e-13,,,,,,,,,,0.3984955780064834,,-0.2244992165607994,2012-05-04,-0.0801873478706785,2013-05-10,-0.2244992165607994,-0.08432401319549465,,-0.06332189126090265,0.0,
AVGO,2011Q1,0.20614035087719307,0.49272727272727274,0.06728867623604468,2.0,0.8475540347581684,,,,,,,,,,0.20614035087719307,,0.03035714285714275,2012-06-08,-0.025996533795493937,2013-06-07,0.03035714285714275,-0.009269002228274315,0.0,0.011733119706317685,0.0,
BRCM,2011Q1,0.44893747588896193,,,4.0,0.9857705728417783,,,,,,,,,,0.44893747588896193,,0.006057268722466924,2012-05-01,0.0974274767378216,2013-04-24,0.006057268722466924,-0.009621644495562187,0.0,0.011380477439029812,0.0,
CAVM,2011Q1,1.1320383100332125,0.623036933722173,0.10836171938680572,5.0,0.03246661724766308,,,,,,,,,,1.1320383100332125,,-0.17031618688060401,2012-05-07,0.31827920292740264,2013-05-06,-0.17031618688060401,-0.14051342053563498,0.0,-0.11951129860104298,0.0,
CODE,2011Q1,,,,,,,,,,,,,,,,,-0.2532250961810901,2012-05-01,-0.1334168350414613,2013-05-03,-0.2532250961810901,0.035842329489965796,1.0,0.056844451424557796,0.0,
CRUS,2011Q1,,,,,,,,,,,,,,,,,0.2099679546771953,2012-05-30,0.8699369977673528,2013-05-29,0.2099679546771953,0.060260638172526915,0.0,0.08126276010711891,1.0,
CY,2011Q1,0.2976963837085034,,,3.0,0.07021918292946151,,,,,,,,,,0.2976963837085034,,-0.20600145853888718,2012-05-09,-0.06678408765512811,2013-05-03,-0.20600145853888718,-0.056550935902167365,0.0,-0.035548813967575366,0.0,
DIOD,2011Q1,0.3357134668610078,0.3738168219715547,0.06613270281202571,4.0,4.0384027318106195e-07,,,,,,,,,,0.3357134668610078,,-0.10455881897805697,2012-05-10,0.22328446112689493,2013-05-10,-0.10455881897805697,-0.12225693993897799,0.0,-0.10125481800438599,0.0,
FCS,2011Q1,0.24894514767932496,0.3641409266409266,0.10404448300017916,3.0,0.9999997331137892,,,,,,,,,,0.24894514767932496,,-0.14721549636803877,2012-05-11,-0.02555366269165249,2013-05-10,-0.14721549636803877,-0.07019660576961417,0.0,-0.049194483835022174,0.0,
FSL,2011Q1,,,,,,,,,,,,,,,,,-0.2043551088777219,2012-04-23,0.032631578947368345,2013-04-26,-0.2043551088777219,0.01779776073349204,1.0,0.03879988266808404,0.0,
IDTI,2011Q1,0.07544918585064564,0.5382431638713046,0.11903345022728434,1.0,0.0024146503626341627,,,,,,,,,,0.07544918585064564,,,,-0.07173649006962379,2013-05-29,,,,,,
INTC,2011Q1,0.08401930173147876,0.6464170376189229,-0.0007586649073331175,1.0,2.835024028314124e-07,,,,,,,,,,0.08401930173147876,,0.004592511870475491,2012-05-04,-0.02525956919262362,2013-04-29,0.004592511870475491,0.026637846265403664,0.0,0.047639968199995664,0.0,
IPHI,2011Q1,,,,,,,,,,,,,,,,,-0.060593377976190466,2012-05-09,0.11796445720508886,2013-05-08,-0.060593377976190466,-0.02398907396218597,0.0,-0.00298695202759397,0.0,
IRF,2011Q1,0.3400810486862884,0.4295069282753138,0.13072075601831717,4.0,0.7736004769784226,,,,,,,,,,0.3400810486862884,,-0.16386995015452432,2012-05-04,-0.09603617983506252,2013-04-30,-0.16386995015452432,-0.09681099756964046,0.0,-0.07580887563504846,0.0,
ISIL,2011Q1,0.30215699090855064,0.5889248881993246,0.04322995683085351,4.0,0.9999999999976552,,,,,,,,,,0.30215699090855064,,-0.21553236957888122,2012-05-03,-0.15567492035817987,2013-05-03,-0.21553236957888122,-0.03243184864468751,0.0,-0.011429726710095511,0.0,
LLTC,2011Q1,0.4963918490895758,0.7846755000377977,0.02504076193104332,5.0,3.0351076753580455e-09,,,,,,,,,,0.4963918490895758,,-0.11561700151758814,2012-05-03,0.006995201003979323,2013-05-09,0.006995201003979323,-0.024674666551545932,0.0,-0.003672544616953932,0.0,
LSCC,2011Q1,,,,,,,,,,,,,,,,,-0.13211886461296374,2013-05-07,-0.0075592747559274365,2013-05-07,-0.13211886461296374,-0.049786823506492106,0.0,-0.028784701571900106,0.0,
LSI,2011Q1,0.08741932751171722,0.43963916411228265,0.049634686389386284,1.0,0.9812638635878989,,,,,,,,,,0.08741932751171722,,0.31517292673856456,2012-05-10,-0.08641697620914357,2013-05-09,0.31517292673856456,-0.01271733686151394,1.0,0.00828478507307806,1.0,
MCHP,2011Q1,0.4707135974154235,0.5883166949410588,0.004563861063274333,5.0,0.20113195243852966,,,,,,,,,,0.4707135974154235,,-0.18591478925509652,2012-05-30,0.2691945673052807,2013-05-30,-0.10809374054238985,0.010946890295349676,0.0,0.031949012229941676,0.0,
MLNX,2011Q1,,,,,,,,,,,,,,,,,0.611747824981383,2012-05-04,-0.06376073384570313,2013-05-03,0.611747824981383,0.027110096800001426,,0.048112218734593426,1.0,
MPWR,2011Q1,,,,,,,,,,,,,,,,,0.1352882972024827,2012-05-08,0.019530940495998683,2013-05-02,0.1352882972024827,0.021539389329265135,1.0,0.042541511263857135,1.0,
MRVL,2011Q1,0.06881375847887616,0.5871253385570225,-0.009579842830100826,1.0,0.9999999999999716,,,,,,,,,,0.06881375847887616,,-0.007541107823759163,2012-06-01,-0.07783251355244103,2013-06-06,-0.007541107823759163,-0.04315849674245631,0.0,-0.02215637480786431,0.0,
MSCC,2011Q1,0.6338538712422008,0.5154786250142391,0.05224124554742121,5.0,0.9016231382881851,,,,,,,,,,0.6338538712422008,,0.20153260398091466,2012-05-08,-0.05604758810457833,2013-04-30,0.20153260398091466,0.0824802680145042,1.0,0.1034823899490962,1.0,
MTSI,2011Q1,,,,,,,,,,,,,,,,,-0.005187201479122772,2012-05-10,0.004439855446566776,2013-05-03,-0.005187201479122772,0.057708586882993185,0.0,0.07871070881758518,0.0,
MU,2011Q1,0.2942528735632184,0.23268206039076378,-0.021915640758661536,3.0,1.6977753419703105e-09,,,,,,,,,,0.2942528735632184,,-0.1098803721754541,2012-04-09,0.03434544549527119,2013-04-08,-0.1098803721754541,-0.08820410059914258,0.0,-0.06720197866455058,0.0,
MX,2011Q1,,,,,,,,,,,,,,,,,-0.05810420336205102,2012-05-15,0.15986260042259404,2013-05-03,-0.06317548331479717,-0.018517436070392024,0.0,0.002484685864199976,0.0,
MXIM,2011Q1,,,,,,,,,,,,,,,,,-0.058609863623254044,2012-04-27,0.05894834142139871,2013-04-26,-0.058609863623254044,-0.02692351407322391,0.0,-0.005921392138631909,0.0,
MXL,2011Q1,,,,,,,,,,,,,,,,,0.2232670925005915,2012-05-02,0.28288932940095735,2013-05-01,0.2232670925005915,-0.040284575684083834,0.0,-0.019282453749491835,1.0,
NSM,2011Q1,-0.04973749654600723,0.6650189008432684,-0.008371538504617693,1.0,3.269237474801801e-05,,,,,,,,,,-0.04973749654600723,,,,,,,,,,,
NVDA,2011Q1,-0.09782511338560873,0.48101370073196925,0.03447287784151154,1.0,0.0070521654253878005,,,,,,,,,,-0.09782511338560873,,-0.0386283716148722,2012-05-23,0.032287536612976675,2013-05-22,-0.0386283716148722,-0.0026202814725413415,0.0,0.018381840462050658,0.0,
ON,2011Q1,0.27024740960033844,0.4103545863159647,0.03860580221784671,3.0,0.9999999723796126,,,,,,,,,,0.27024740960033844,,-0.14495750057431656,2012-05-04,-0.11203653949489523,2013-05-03,-0.14495750057431656,0.05096412968728414,0.0,0.07196625162187614,0.0,
OVTI,2011Q1,,,,,,,,,,,,,,,,,-0.15379760558799382,2012-06-26,0.5384105020887955,2013-06-28,-0.15379760558799382,-0.08277012505823514,,-0.06176800312364314,0.0,
PMCS,2011Q1,0.24037256639872862,0.6685064835063295,0.008003411896561397,2.0,0.962819933171943,,,,,,,,,,0.24037256639872862,,-0.16095633725878777,2012-05-10,-0.05248535134071197,2013-05-08,-0.16095633725878777,0.06530699449962041,0.0,0.08630911643421241,0.0,
POWI,2011Q1,0.25703052112488334,0.516951174256481,0.03176191662619976,3.0,0.99999294168026,,,,,,,,,,0.25703052112488334,,-0.06499309554206512,2012-05-08,0.07338414166887275,2013-05-03,-0.06499309554206512,0.007471382259744419,0.0,0.02847350419433642,0.0,
QCOM,2011Q1,0.2539325842696629,0.6624850657108722,-0.03189695676103799,3.0,1.0,,,,,,,,,,0.2539325842696629,,0.27561290322580656,2012-04-18,0.2389237305280194,2013-04-24,0.27726098191214477,-0.008970182663003312,1.0,0.012031939271588687,1.0,
RFMD,2011Q1,0.11396845819132051,,,2.0,0.9998805317360933,,,,,,,,,,0.11396845819132051,,-0.11907128057526972,2012-05-25,0.493164826393508,2013-05-24,-0.11907128057526972,-0.05259405023789082,0.0,-0.03159192830329882,0.0,
SLAB,2011Q1,-0.045737930158125106,0.6547430797143665,0.011163782898310992,1.0,0.9978390059571178,,,,,,,,,,-0.045737930158125106,,0.05070380153131171,2012-04-26,0.15650506754069138,2013-04-24,0.05070380153131171,-0.005733281180063887,,0.015268840754528112,1.0,
SMTC,2011Q1,0.6384552942898585,0.599561421319797,0.0490271351872833,5.0,0.3736883815392322,,,,,,,,,,0.6384552942898585,,-0.04681664773516603,2012-06-08,0.39235438349822527,2013-06-07,-0.04681664773516603,-0.1291078967967546,,-0.1081057748621626,0.0,
SWKS,2011Q1,0.3670667134430403,0.4432382430174266,0.02488613114574617,4.0,0.747147228739664,,,,,,,,,,0.3670667134430403,,0.12070581510766387,2012-05-08,0.1659217417532699,2013-05-01,0.12073654547633605,-0.015701627463581502,0.0,0.005300494471010497,1.0,
SYNA,2011Q1,0.19695026364543256,0.4075547840908379,0.0037909923969816073,2.0,0.9999999894709788,,,,,,,,,,0.19695026364543256,,-0.07514430571745567,2012-05-04,0.2400744087164497,2013-05-03,-0.07514430571745567,0.06752601889234977,0.0,0.08852814082694177,0.0,
TQNT,2011Q1,0.370287068890752,0.41333260196288574,0.0754296792373213,4.0,0.6749144121889528,,,,,,,,,,0.370287068890752,,-0.03384851308158321,2012-05-03,-0.15005306141281782,2013-05-01,-0.03384851308158321,-0.10080211806278833,0.0,-0.07979999612819633,0.0,
TXN,2011Q1,0.1734354194407457,0.5304964539007092,0.0018679585611619531,2.0,0.003964565159850561,,,,,,,,,,0.1734354194407457,,-0.07989386792452835,2012-05-04,-0.07561678949054795,2013-05-03,-0.07989386792452835,-0.018886060950469408,0.0,0.002116060984122592,0.0,
