ticker,concept,tag,start,end,calendar_quarter,value_as_filed,filed_as_filed,value_latest,filed_latest,restated,n_filings,form,fiscal_label,derived_q4
AMD,cost_of_revenue,CostOfGoodsSold,2009-03-29,2009-06-27,2009Q2,743000000.0,2010-08-04,743000000.0,2010-08-04,False,1,10-Q,FY2010 Q2,False
AMD,cost_of_revenue,CostOfGoodsSold,2009-06-28,2009-09-26,2009Q3,811000000.0,2010-11-03,811000000.0,2010-11-03,False,1,10-Q,FY2010 Q3,False
AMD,cost_of_revenue,CostOfGoodsSold,2009-12-27,2010-03-27,2010Q1,833000000.0,2011-05-10,833000000.0,2012-02-24,False,2,10-Q,FY2011 Q1,False
AMD,cost_of_revenue,CostOfGoodsSold,2010-03-28,2010-06-26,2010Q2,915000000.0,2010-08-04,915000000.0,2012-02-24,False,3,10-Q,FY2010 Q2,False
AMD,cost_of_revenue,CostOfGoodsSold,2010-06-27,2010-09-25,2010Q3,879000000.0,2010-11-03,879000000.0,2012-02-24,False,3,10-Q,FY2010 Q3,False
AMD,cost_of_revenue,CostOfGoodsSold,2010-09-26,2010-12-25,2010Q4,906000000.0,2011-05-10,906000000.0,2013-02-21,False,3,derived(10-K),FY2010 Q4(derived),True
AMD,cost_of_revenue,CostOfGoodsSold,2010-12-26,2011-04-02,2011Q1,922000000.0,2011-05-10,922000000.0,2013-02-21,False,4,10-Q,FY2011 Q1,False
AMD,cost_of_revenue,CostOfGoodsSold,2011-04-03,2011-07-02,2011Q2,854000000.0,2011-08-10,854000000.0,2013-02-21,False,4,10-Q,FY2011 Q2,False
AMD,cost_of_revenue,CostOfGoodsSold,2011-07-03,2011-10-01,2011Q3,934000000.0,2011-11-09,934000000.0,2013-02-21,False,4,10-Q,FY2011 Q3,False
AMD,cost_of_revenue,CostOfGoodsSold,2011-10-02,2011-12-31,2011Q4,918000000.0,2012-02-24,918000000.0,2014-02-18,False,3,derived(10-K),FY2011 Q4(derived),True
AMD,cost_of_revenue,CostOfGoodsSold,2012-01-01,2012-03-31,2012Q1,1558000000.0,2012-05-09,1558000000.0,2014-02-18,False,4,10-Q,FY2012 Q1,False
AMD,cost_of_revenue,CostOfGoodsSold,2012-04-01,2012-06-30,2012Q2,775000000.0,2012-08-02,775000000.0,2014-02-18,False,4,10-Q,FY2012 Q2,False
AMD,cost_of_revenue,CostOfGoodsSold,2012-07-01,2012-09-29,2012Q3,877000000.0,2012-11-01,877000000.0,2014-02-18,False,4,10-Q,FY2012 Q3,False
AMD,cost_of_revenue,CostOfGoodsSold,2012-09-30,2012-12-29,2012Q4,977000000.0,2013-02-21,977000000.0,2015-02-19,False,3,derived(10-K),FY2012 Q4(derived),True
AMD,cost_of_revenue,CostOfGoodsSold,2012-12-30,2013-03-30,2013Q1,643000000.0,2013-05-06,643000000.0,2015-02-19,False,4,10-Q,FY2013 Q1,False
AMD,cost_of_revenue,CostOfGoodsSold,2013-03-31,2013-06-29,2013Q2,702000000.0,2013-08-01,702000000.0,2015-02-19,False,4,10-Q,FY2013 Q2,False
AMD,cost_of_revenue,CostOfGoodsSold,2013-06-30,2013-09-28,2013Q3,940000000.0,2013-10-30,940000000.0,2015-02-19,False,4,10-Q,FY2013 Q3,False
AMD,cost_of_revenue,CostOfGoodsSold,2013-09-29,2013-12-28,2013Q4,1036000000.0,2014-02-18,1036000000.0,2016-02-18,False,3,derived(10-K),FY2013 Q4(derived),True
AMD,cost_of_revenue,CostOfGoodsSold,2013-12-29,2014-03-29,2014Q1,910000000.0,2014-05-01,910000000.0,2016-02-18,False,4,10-Q,FY2014 Q1,False
AMD,cost_of_revenue,CostOfGoodsSold,2014-03-30,2014-06-28,2014Q2,943000000.0,2014-07-31,943000000.0,2016-02-18,False,4,10-Q,FY2014 Q2,False
AMD,cost_of_revenue,CostOfGoodsSold,2014-06-29,2014-09-27,2014Q3,935000000.0,2014-10-30,935000000.0,2016-02-18,False,4,10-Q,FY2014 Q3,False
AMD,cost_of_revenue,CostOfGoodsSold,2014-09-28,2014-12-27,2014Q4,879000000.0,2015-02-19,879000000.0,2017-02-21,False,3,derived(10-K),FY2014 Q4(derived),True
AMD,cost_of_revenue,CostOfGoodsSold,2014-12-28,2015-03-28,2015Q1,704000000.0,2015-04-29,704000000.0,2017-02-21,False,4,10-Q,FY2015 Q1,False
AMD,cost_of_revenue,CostOfGoodsSold,2015-03-29,2015-06-27,2015Q2,710000000.0,2015-07-30,710000000.0,2017-02-21,False,4,10-Q,FY2015 Q2,False
AMD,cost_of_revenue,CostOfGoodsSold,2015-06-28,2015-09-26,2015Q3,822000000.0,2015-11-03,822000000.0,2017-02-21,False,4,10-Q,FY2015 Q3,False
AMD,cost_of_revenue,CostOfGoodsSold,2015-09-27,2015-12-26,2015Q4,675000000.0,2016-02-18,675000000.0,2018-02-27,False,3,derived(10-K),FY2015 Q4(derived),True
AMD,cost_of_revenue,CostOfGoodsSold,2015-12-27,2016-03-26,2016Q1,563000000.0,2016-04-28,563000000.0,2018-02-27,False,4,10-Q,FY2016 Q1,False
AMD,cost_of_revenue,CostOfGoodsSold,2016-03-27,2016-06-25,2016Q2,708000000.0,2016-07-26,708000000.0,2018-02-27,False,4,10-Q,FY2016 Q2,False
AMD,cost_of_revenue,CostOfGoodsSold,2016-06-26,2016-09-24,2016Q3,1248000000.0,2016-10-26,1248000000.0,2018-02-27,False,4,10-Q,FY2016 Q3,False
AMD,cost_of_revenue,CostOfGoodsAndServicesSold,2016-09-25,2016-12-31,2016Q4,797000000.0,2019-02-08,797000000.0,2019-02-08,False,1,derived(10-K),FY2018 Q4(derived),True
