competitor,target,quarter,value
D1,t1_h4,2015Q1,0.23053221288515408
D1,t1_h4,2015Q2,-0.04761904761904762
D1,t1_h4,2015Q3,0.0773109243697479
D1,t1_h4,2015Q4,0.055462184873949584
D1,t1_h4,2016Q1,-0.24926686217008792
D1,t1_h4,2016Q2,-0.09860703812316715
D1,t1_h4,2016Q3,0.04879679144385027
D1,t1_h4,2016Q4,-0.16544117647058826
D1,t1_h4,2017Q1,-0.11430481283422461
D1,t1_h4,2017Q2,0.11133004926108372
D1,t1_h4,2017Q3,-0.12207792207792208
D1,t1_h4,2017Q4,-0.12693498452012383
D1,t1_h4,2018Q1,-0.1043956043956044
D1,t1_h4,2018Q2,0.1857142857142857
D1,t1_h4,2018Q3,0.29545454545454547
D1,t1_h4,2018Q4,0.13777777777777778
D1,t1_h4,2019Q1,0.01532567049808429
D1,t1_h4,2019Q2,-0.029009304871373837
D1,t1_h4,2019Q3,-0.14942528735632182
D1,t1_h4,2019Q4,0.0782703886152162
D1,t1_h4,2020Q1,0.0049261083743842365
D1,t1_h4,2020Q2,0.11767925561029009
D1,t1_h4,2020Q3,0.16178266178266176
D1,t1_h4,2020Q4,0.3724053724053724
D1,t1_h4,2021Q1,0.20580186097427478
D1,t1_h4,2021Q2,-0.0071154898741105635
D1,t1_h4,2021Q3,0.052545155993431854
D1,t1_h4,2021Q4,0.13683634373289547
D1,t1_h4,2022Q1,0.3278598795840175
D1,t1_h4,2022Q2,0.17733990147783252
D1,t1_h4,2022Q3,-0.1592775041050903
D1,t1_h4,2022Q4,-0.24466338259441706
D1,t1_h8,2015Q1,0.33944281524926684
D1,t1_h8,2015Q2,0.3218582887700535
D1,t1_h8,2015Q3,0.13636363636363638
D1,t1_h8,2015Q4,0.08785332314744079
D1,t1_h8,2016Q1,-0.02339572192513369
D1,t1_h8,2016Q2,0.10766129032258066
D1,t1_h8,2016Q3,0.16733870967741937
D1,t1_h8,2016Q4,0.15645161290322582
D1,t1_h8,2017Q1,0.14705228031145717
D1,t1_h8,2017Q2,-0.05006105006105006
D1,t1_h8,2017Q3,0.05714285714285714
D1,t1_h8,2017Q4,-0.21813725490196081
D1,t1_h8,2018Q1,0.43956043956043955
D1,t1_h8,2018Q2,0.42499999999999993
D1,t1_h8,2018Q3,0.3974025974025974
D1,t1_h8,2018Q4,-0.13391304347826086
D1,t1_h8,2019Q1,-0.3681318681318681
D1,t1_h8,2019Q2,-0.1684981684981685
D1,t1_h8,2019Q3,-0.25196581196581197
D1,t1_h8,2019Q4,-0.05504273504273505
D1,t1_h8,2020Q1,-0.02427350427350427
D1,t1_h8,2020Q2,0.006495726495726496
D1,t1_h8,2020Q3,-0.07897435897435896
D1,t1_h8,2020Q4,-0.030427350427350425
D1,t1_h8,2021Q1,-0.2019704433497537
D1,t1_h8,2021Q2,-0.14997263273125339
D1,t1_h8,2021Q3,0.06896551724137931
D1,t1_h8,2021Q4,0.04159824849480022
D1,t1_h8,2022Q1,-0.04159824849480022
D1,t1_h8,2022Q2,0.18445539135194308
D1,t1_h8,2022Q3,-0.042692939244663386
D1,t1_h8,2022Q4,-0.21018062397372742
D1,t2,2015Q1,0.7175925925925926
D1,t2,2015Q2,0.6071428571428571
D1,t2,2015Q3,0.6887755102040817
D1,t2,2015Q4,0.7142857142857143
D1,t2,2016Q1,0.26857142857142857
D1,t2,2016Q2,0.44571428571428573
D1,t2,2016Q3,0.47802197802197804
D1,t2,2016Q4,0.4012345679012346
D1,t2,2017Q1,0.46703296703296704
D1,t2,2017Q2,0.7391304347826086
D1,t2,2017Q3,0.6176470588235294
