ticker,quarter,direction,p_high_at_switch,criterion
NVDA,2005Q4,up,0.9994615976341034,>=0.5 for >= 2 consecutive quarters (filtered)
NVDA,2008Q1,down,0.35968790518773347,>=0.5 for >= 2 consecutive quarters (filtered)
NVDA,2012Q3,up,0.8609073512740416,>=0.5 for >= 2 consecutive quarters (filtered)
NVDA,2014Q2,down,0.06796029983073507,>=0.5 for >= 2 consecutive quarters (filtered)
NVDA,2019Q1,up,0.7822071721284602,>=0.5 for >= 2 consecutive quarters (filtered)
AMD,2021Q4,up,0.9711448458473708,>=0.5 for >= 2 consecutive quarters (filtered)
MRVL,2007Q2,up,0.8621053673721175,>=0.5 for >= 2 consecutive quarters (filtered)
MRVL,2015Q3,down,0.13600026295314208,>=0.5 for >= 2 consecutive quarters (filtered)
MU,2005Q4,down,0.23456023803156056,>=0.5 for >= 2 consecutive quarters (filtered)
MU,2006Q2,up,0.9986383577294966,>=0.5 for >= 2 consecutive quarters (filtered)
MU,2006Q4,down,0.49951226867905735,>=0.5 for >= 2 consecutive quarters (filtered)
MU,2017Q3,up,0.7814021695941814,>=0.5 for >= 2 consecutive quarters (filtered)
MU,2023Q1,down,0.21026865499070574,>=0.5 for >= 2 consecutive quarters (filtered)
