competitor,tier,target,metric,mean,nw_t,n_quarters,caveat
D1,1,t1_h4,IC,0.03671915480677425,1.083901304836685,32,Step 5b pre-registered scoreboard: feasible patent channel cut at t-6Q; financials gated on filed<=t; expanding-window HMM refits (warm start + 5 restarts); as-filed targets; attrition counted
D1,1,t1_h8,IC,0.03235646809251322,0.6768028374721258,32,
D1,1,t2,AUC,0.5690888951720459,2.3866044791379233,32,
D1,1,t3,IC,-0.03938431379104507,-1.107537419236583,32,
D1,1,t1_h4_ma_excl,IC,0.047499063955497176,1.2804342952905443,32,
D1,1,t1_h4_latest(app),IC,0.07869861704670006,2.6417544207746673,32,
D1,1,ni_dir(app),AUC,0.4792865830661518,-0.8548642878479998,31,
D2,1,t1_h4,IC,0.0386423991838755,1.1493906383773964,32,
D2,1,t1_h8,IC,0.030383444468720832,0.6353741316672809,32,
D2,1,t2,AUC,0.5710309659506954,2.589253515806785,32,
D2,1,t3,IC,-0.03454674323183532,-1.0123339288538824,32,
D2,1,t1_h4_ma_excl,IC,0.045910047947049004,1.3903487397159886,32,
D2,1,t1_h4_latest(app),IC,0.0807249969806849,2.552037066029302,32,
D2,1,ni_dir(app),AUC,0.4775733866322084,-0.918816671386839,31,
A_feas,1,t1_h4,IC,-0.018256465098381764,-0.5328582118047246,32,
A_feas,1,t1_h8,IC,-0.05405426263435856,-1.318823981677536,32,
A_feas,1,t2,AUC,0.5086529840736279,0.34547818040375133,32,
A_feas,1,t3,IC,-0.012260206371090397,-0.3631177105627161,32,
A_feas,1,t1_h4_ma_excl,IC,-0.013254521768319972,-0.24455244381215352,32,
A_feas,1,t1_h4_latest(app),IC,-0.02043111307697183,-0.5777224511984703,32,
A_feas,1,ni_dir(app),AUC,0.4918109609920167,-0.34399023613080404,31,
A_orac,1,t1_h4,IC,-0.07197415463194803,-2.5841073693506367,32,
A_orac,1,t1_h8,IC,-0.06533910899124837,-1.844636410951193,32,
A_orac,1,t2,AUC,0.4899836930733508,-0.4047218316080662,32,
A_orac,1,t3,IC,-0.041742125596318014,-0.8858312378418334,32,
A_orac,1,t1_h4_ma_excl,IC,-0.05664334547414003,-1.838702344138769,32,
A_orac,1,t1_h4_latest(app),IC,-0.06299731604577871,-2.0985362994071233,32,
A_orac,1,ni_dir(app),AUC,0.4597853760460497,-1.627141094337468,31,
B,1,t1_h4,IC,-0.001985630839403299,-0.026117702880975008,32,
B,1,t1_h8,IC,0.01950285128120196,0.3753315424918212,32,
B,1,t2,AUC,0.5365086264334384,0.7855258602696107,32,
B,1,t3,IC,-0.06453416960083644,-0.8907135877378111,32,
B,1,t1_h4_ma_excl,IC,0.009677052036188141,0.14604750298919691,32,
B,1,t1_h4_latest(app),IC,-0.02759947276700419,-0.3595180883338296,32,
B,1,ni_dir(app),AUC,0.4643767460489472,-1.4346788066613132,31,
C,1,t1_h4,IC,-0.030443403009720624,-0.6466961139347889,32,
C,1,t1_h8,IC,-0.04304524760721011,-0.8496636978321651,32,
C,1,t2,AUC,0.4796974717914274,-0.929374164939788,32,
C,1,t3,IC,-0.0161827446658136,-0.46911065234478844,32,
C,1,t1_h4_ma_excl,IC,-0.008671324088885582,-0.1471789085339582,32,
C,1,t1_h4_latest(app),IC,-0.027717072607032104,-0.6634405924098756,32,
C,1,ni_dir(app),AUC,0.45586472761114477,-1.5735954419474345,31,
Cw,1,t1_h4,IC,-0.012593921209526033,-0.17443650809605335,32,
Cw,1,t1_h8,IC,0.007441630685895689,0.1462819098913832,32,
Cw,1,t2,AUC,0.5061075306446547,0.14216530749742118,32,
Cw,1,t3,IC,-0.055389135753355336,-0.9467057794810422,32,
Cw,1,t1_h4_ma_excl,IC,0.01640950915085152,0.2576347545492499,32,
Cw,1,t1_h4_latest(app),IC,-0.039221050762431243,-0.5270816595390081,32,
Cw,1,ni_dir(app),AUC,0.4847474605740735,-0.781969709481314,31,
F0,2,t1_h4,IC,0.03060927676825274,0.843675887759676,31,
F0,2,t1_h8,IC,0.07270451403652783,1.7324132442198183,26,
F0,2,t2,AUC,0.5533116696632077,2.0243637321430445,31,
F0,2,t3,IC,0.13222996954178046,1.982826371899052,31,
F0,2,t1_h4_ma_excl,IC,0.051718756328173306,1.1355547307519491,31,
F0+A,2,t1_h4,IC,0.03271665140776798,0.9486924222083097,31,
F0+A,2,t1_h8,IC,0.09550542899919828,3.322709695700196,26,
F0+A,2,t2,AUC,0.558741659988905,2.347809512635887,31,
F0+A,2,t3,IC,0.1431921790585987,2.28220359578227,31,
F0+A,2,t1_h4_ma_excl,IC,0.04622002940604397,1.1324210769769056,31,
F0+B,2,t1_h4,IC,-0.009349465468352513,-0.15409246748737146,31,
F0+B,2,t1_h8,IC,0.003359531371850818,0.07115828676797815,26,
F0+B,2,t2,AUC,0.5496366265809158,1.2405344388607364,31,
F0+B,2,t3,IC,0.0955440909968242,1.5181959412313206,31,
F0+B,2,t1_h4_ma_excl,IC,0.0036074043662004092,0.06502976009357009,31,
F0+A+B,2,t1_h4,IC,-0.004129929408756877,-0.06851712171203221,31,
F0+A+B,2,t1_h8,IC,0.031554430333595465,0.689103413306976,26,
F0+A+B,2,t2,AUC,0.5523789168794916,1.3623355955382508,31,
F0+A+B,2,t3,IC,0.11409347073894428,2.0465530584745535,31,
F0+A+B,2,t1_h4_ma_excl,IC,0.0033654969860794815,0.06352756590921402,31,
F0+Cw,2,t1_h4,IC,-0.002781235586505314,-0.048118683906513596,31,
F0+Cw,2,t1_h8,IC,0.007752001692449608,0.17826404524371967,26,
F0+Cw,2,t2,AUC,0.5273320211303317,0.8423136241021154,31,
F0+Cw,2,t3,IC,0.11235429076649929,1.8303009194689888,31,
F0+Cw,2,t1_h4_ma_excl,IC,0.025166263495254276,0.474828054147082,31,
DF,2,t1_h4,IC,-0.017480549381455036,-0.32274950520375206,31,
DF,2,t2,AUC,0.505863061938735,0.15498739622963473,31,
