quarter,w_selected,inner_ic,n_inner_quarters,fallback_naive
2011Q1,1.0,,0,True
2011Q2,1.0,,0,True
2011Q3,1.0,,0,True
2011Q4,1.0,,0,True
2012Q1,1.0,,0,True
2012Q2,1.0,,0,True
2012Q3,1.0,,0,True
2012Q4,1.0,,0,True
2013Q1,1.0,,0,True
2013Q2,1.0,,0,True
2013Q3,1.0,,0,True
2013Q4,1.0,,0,True
2014Q1,1.0,,0,True
2014Q2,1.0,,0,True
2014Q3,1.0,,0,True
2014Q4,1.0,,0,True
2015Q1,0.0,0.2195980743394536,4,False
2015Q2,0.0,0.22043652398769192,5,False
2015Q3,0.0,0.24198156080108246,6,False
2015Q4,0.0,0.23265857322568204,7,False
2016Q1,0.1,0.21337564163817296,8,False
2016Q2,0.1,0.22682876829088766,9,False
2016Q3,0.1,0.24586494793473937,10,False
2016Q4,0.1,0.24784043520593474,11,False
2017Q1,0.1,0.23963295305132762,12,False
2017Q2,0.1,0.24427657204737935,13,False
2017Q3,0.1,0.26120815128104374,14,False
2017Q4,0.1,0.25712760786230754,15,False
2018Q1,0.1,0.2757162232800042,16,False
2018Q2,0.1,0.259977537662059,17,False
2018Q3,0.1,0.24548709352901074,18,False
2018Q4,0.5,0.2802292063173764,19,False
2019Q1,0.05,0.2573169010841564,20,False
2019Q2,0.1,0.23136049439837644,21,False
2019Q3,0.1,0.2086645314639319,22,False
2019Q4,0.1,0.1830508640901791,23,False
2020Q1,0.1,0.17182555280392386,24,False
2020Q2,0.1,0.14850124864048486,25,False
2020Q3,0.1,0.14483249112021823,26,False
2020Q4,0.1,0.136664544200874,27,False
2021Q1,0.1,0.14986977865535017,28,False
2021Q2,0.1,0.14030204050879921,29,False
2021Q3,0.1,0.12718004737991415,30,False
2021Q4,0.1,0.11314087849558827,31,False
2022Q1,0.1,0.10756401393345422,32,False
2022Q2,0.1,0.10568237973759456,33,False
2022Q3,0.0,0.10041409375339916,34,False
2022Q4,0.0,0.09016050426154379,35,False
